preds_list2[[1]]$genes	1	prob_lda	prob_svm	prob_logit	pred_lda	pred_svm	pred_logit
LOC_Os05g08430	0	0.717395108	0.444825951	0.017693697	0	0	1
LOC_Os01g73170	0	0.033392102	0.92989539	1	1	0	0
LOC_Os06g07932	0	0.962230293	0.782284007	0.000600175	0	0	1
LOC_Os10g13810	0	0.999979193	0.124882253	2.22E-16	0	0	1
LOC_Os02g45450	0	0.576371304	0.227403131	0.816312466	0	0	0
LOC_Os08g44350	0	0.673437578	0.591438296	0.992581785	0	0	0
LOC_Os07g02810	0	0.213266751	0.557780646	1	0	0	0
LOC_Os01g64560	0	0.990853355	0.085148466	0.001307812	0	1	1
LOC_Os03g26910	0	0.12288373	0.837946285	0.994347751	0	0	0
LOC_Os03g05710	0	0.982690553	0.036865994	2.34E-16	0	1	1
LOC_Os06g12450	0	0.864800228	0.81323611	0.540455974	0	0	0
LOC_Os06g45440	0	0.967754193	0.048957413	0.000390789	0	1	1
LOC_Os04g16742	0	0.991353014	0.141961309	2.59E-13	0	0	1
LOC_Os02g13580	0	0.977901921	0.082583978	0.256285433	0	1	0
LOC_Os04g59190	1	0.039593913	0.92174143	0.997110878	1	0	0
LOC_Os03g43990	0	0.99449492	0.078938662	0.001764562	0	1	1
LOC_Os03g11140	0	0.992925686	0.057700906	1.33E-13	0	1	1
LOC_Os02g25630	0	0.005593737	0.874118096	0.999598236	1	0	0
LOC_Os10g01530	0	0.204107888	0.498391814	0.30203476	0	0	0
LOC_Os02g14190	0	0.919969336	0.181792332	0.006351708	0	0	1
LOC_Os02g10800	0	0.997565549	0.04470085	5.28E-11	0	1	1
LOC_Os02g44380	0	0.928072503	0.091353274	1.62E-12	0	1	1
LOC_Os01g25240	0	0.952240042	0.068897167	0.29557044	0	1	0
LOC_Os05g05820	0	0.169394213	0.542873186	0.873210424	0	0	0
LOC_Os08g04890	0	0.074364834	0.767731649	1	1	0	0
LOC_Os02g10590	0	0.994070283	0.174649447	6.06E-16	0	0	1
LOC_Os07g47490	1	0.93987023	0.341749759	0.002767036	0	0	1
LOC_Os06g21900	0	0.061350314	0.91963856	0.998699987	1	0	0
LOC_Os05g37660	0	0.340686212	0.757687957	0.006199995	0	0	1
LOC_Os09g30330	0	0.952288181	0.046555942	0.386787904	0	1	0
LOC_Os01g54920	0	0.937323656	0.521486447	0.577050065	0	0	0
LOC_Os05g50570	0	0.837399812	0.223562704	0.555082093	0	0	0
LOC_Os11g03410	0	0.998795507	0.157604574	3.19E-11	0	0	1
LOC_Os02g39260	0	0.861799838	0.809799366	0.974632345	0	0	0
LOC_Os02g51070	0	0.906967647	0.877017251	0.006381279	0	0	1
LOC_Os01g62010	0	0.983029128	0.075483799	2.22E-16	0	1	1
LOC_Os03g14250	0	0.980960281	0.20485235	0.524674806	0	0	0
LOC_Os03g58410	0	0.907752635	0.296616719	0.042719146	0	0	1
LOC_Os01g67000	0	0.999795224	0.0673994	2.22E-16	0	1	1
LOC_Os08g15306	0	0.999905094	0.072578167	2.22E-16	0	1	1
LOC_Os03g40270	0	0.228640836	0.634197452	1	0	0	0
LOC_Os07g27140	0	0.985079883	0.045072329	1.00E-04	0	1	1
LOC_Os04g45210	0	0.99482278	0.089380499	0.001786595	0	1	1
LOC_Os02g49550	0	0.957418885	0.102502617	0.524092051	0	0	0
LOC_Os01g65090	0	0.064156721	0.941442023	0.997548066	1	0	0
LOC_Os02g50930	0	0.959438201	0.029215066	0.879276098	0	1	0
LOC_Os12g32986	0	0.974398124	0.130610768	0.046472077	0	0	1
LOC_Os08g40860	0	0.99987287	0.033299145	2.22E-16	0	1	1
LOC_Os04g40080	0	0.994322085	0.043265299	0.014368671	0	1	1
LOC_Os04g16782	0	0.998003692	0.102919572	2.22E-16	0	0	1
LOC_Os09g38720	0	0.75694968	0.651711202	0.007814178	0	0	1
LOC_Os05g04240	0	0.508939301	0.648865991	0.777123467	0	0	0
LOC_Os05g29974	0	0.948302993	0.225387418	0.002194596	0	0	1
LOC_Os02g36870	0	0.406568451	0.237521384	0.996984428	0	0	0
LOC_Os03g22010	1	0.0234749	0.899753416	0.01839202	1	0	1
LOC_Os08g39630	0	0.759561062	0.519152727	0.209753936	0	0	0
LOC_Os07g03590	0	0.988596101	0.059932255	0.897215811	0	1	0
LOC_Os11g10480	1	0.003768119	0.983111947	1	1	0	0
LOC_Os11g43750	0	0.145857204	0.832826624	0.96949663	0	0	0
LOC_Os03g58920	0	0.948997138	0.194086115	0.009851548	0	0	1
LOC_Os06g02170	0	0.999389483	0.021783552	2.22E-16	0	1	1
LOC_Os04g01280	0	0.999920794	0.083698416	2.22E-16	0	1	1
LOC_Os05g45350	0	0.997755023	0.142144045	2.22E-16	0	0	1
LOC_Os06g35300	0	0.001762089	0.908770518	0.9998	1	0	0
LOC_Os01g11040	0	0.999882005	0.035055957	2.22E-16	0	1	1
LOC_Os02g41670	1	0.000500176	0.98405096	1	1	0	0
LOC_Os01g70730	0	0.996318991	0.013179641	9.89E-05	0	1	1
LOC_Os01g09800	0	0.999449575	0.0229289	2.22E-16	0	1	1
LOC_Os06g37560	0	0.774292226	0.740029411	0.014160664	0	0	1
LOC_Os05g18604	0	0.875242209	0.308678719	0.044655161	0	0	1
LOC_Os12g44340	0	0.999575282	0.048770909	2.22E-16	0	1	1
LOC_Os05g20020	0	0.000336719	0.909419017	1	1	0	0
LOC_Os04g33240	0	0.009998536	0.972117104	0.99979998	1	0	0
LOC_Os02g47940	0	0.099605811	0.839851593	0.99614814	1	0	0
