preds_list2[[1]]$genes,1,prob_logit,pred_logit,pred_logit_PR
LOC_Os10g42940,0,2.22e-16,0,0
LOC_Os03g20340,0,0.0001,0,0
LOC_Os05g03450,0,0.964771231,1,1
LOC_Os03g10370,0,2.22e-16,0,0
LOC_Os05g37330,1,0.029424648,0,0
LOC_Os03g05730,1,0.865805196,1,1
LOC_Os02g07490,0,1.0,1,1
LOC_Os03g09300,0,0.9999,1,1
LOC_Os06g14550,0,0.088574132,0,0
LOC_Os04g42380,0,0.370848065,0,0
LOC_Os07g12250,0,0.149877607,0,0
LOC_Os06g29080,0,0.38852142,0,0
LOC_Os07g38730,0,0.990390143,1,1
LOC_Os06g07878,0,2.22e-16,0,0
LOC_Os05g47630,0,0.015155117,0,0
LOC_Os03g05140,0,2.37e-16,0,0
LOC_Os07g08170,0,0.893011902,1,1
LOC_Os10g37490,0,0.003980569,0,0
LOC_Os09g02700,0,0.111825818,0,0
LOC_Os12g44350,0,0.150840636,0,0
LOC_Os09g39930,0,0.519541995,0,0
LOC_Os04g37904,0,0.779397763,1,0
LOC_Os03g43360,0,0.040150346,0,0
LOC_Os03g54160,0,0.007424995,0,0
LOC_Os12g38610,0,0.103926375,0,0
LOC_Os03g01018,0,0.909948469,1,1
LOC_Os03g12590,0,0.346726288,0,0
LOC_Os04g35090,0,0.153053828,0,0
LOC_Os05g27530,0,0.006494364,0,0
LOC_Os09g15700,0,2.22e-16,0,0
LOC_Os02g45180,0,0.760474111,1,0
LOC_Os01g46980,0,0.9999,1,1
LOC_Os05g36050,0,0.897668522,1,1
LOC_Os03g57760,0,2.22e-16,0,0
LOC_Os06g33530,0,0.019183661,0,0
LOC_Os11g37080,0,0.022399714,0,0
LOC_Os02g32160,0,0.821947494,1,0
LOC_Os09g39640,0,0.082939468,0,0
LOC_Os03g25980,0,0.196484706,0,0
LOC_Os01g60280,0,0.603603043,0,0
LOC_Os02g07120,0,0.023760247,0,0
LOC_Os01g54550,0,0.882957878,1,1
LOC_Os03g02780,0,0.912650744,1,1
LOC_Os03g62340,0,0.02216629,0,0
LOC_Os03g46650,0,0.999599999,1,1
LOC_Os05g28510,0,0.998505106,1,1
LOC_Os04g28180,0,0.9999,1,1
LOC_Os12g37590,0,0.839250024,1,1
LOC_Os03g23950,0,0.923294564,1,1
LOC_Os08g18110,0,0.553973069,0,0
LOC_Os02g11890,0,0.0001,0,0
LOC_Os12g41180,0,0.00486344,0,0
LOC_Os03g41460,0,0.021514766,0,0
LOC_Os07g10720,0,1.0,1,1
LOC_Os03g57450,0,0.999813437,1,1
LOC_Os03g53410,0,0.0002,0,0
LOC_Os05g48960,0,0.488499097,0,0
LOC_Os01g54870,0,0.161095736,0,0
LOC_Os07g05620,0,2.22e-16,0,0
