gene,status,prob_rf,prob_logit_Ada,pred_rf,pred_logit_PR,SUM_PR
LOC_Os07g38760,1,0.818568,1,1,1,2
LOC_Os01g51290,0,0.52608,2.69E-14,0,0,0
LOC_Os01g43410,0,0.476411,0.922375241,0,1,1
LOC_Os11g14220,1,0.818151,0.93893285,1,1,2
LOC_Os12g06660,1,0.81905,0.999698997,1,1,2
LOC_Os02g44642,0,0.50649,0.827955332,0,0,0
LOC_Os03g41100,0,0.493252,1,0,1,1
LOC_Os01g23620,0,0.622279,0.188344219,0,0,0
LOC_Os01g49529,0,0.463174,0.489822628,0,0,0
LOC_Os06g46330,0,0.620242,0.243050887,0,0,0
LOC_Os01g61590,0,0.613892,0.112551331,0,0,0
LOC_Os07g38120,0,0.490368,0.991967555,0,1,1
LOC_Os01g34890,0,0.466541,0.001099485,0,0,0
LOC_Os01g16030,0,0.494584,0.000199999,0,0,0
LOC_Os02g43930,0,0.499308,2.22E-16,0,0,0
LOC_Os01g15310,0,0.553428,0.001286472,0,0,0
LOC_Os01g12720,0,0.465009,0.022922486,0,0,0
LOC_Os08g03150,0,0.521547,0.9996,0,1,1
LOC_Os06g06880,0,0.5387,0.716786897,0,0,0
LOC_Os08g41250,0,0.476401,2.22E-16,0,0,0
LOC_Os05g34390,0,0.585204,0.613258459,0,0,0
LOC_Os03g62600,0,0.58857,2.49E-16,0,0,0
LOC_Os10g30420,0,0.530339,0.993908423,0,1,1
LOC_Os08g37800,0,0.539415,0.621168036,0,0,0
LOC_Os10g10500,0,0.51195,0.997951135,0,1,1
LOC_Os05g14730,1,0.804685,1,1,1,2
LOC_Os05g01560,0,0.530511,0.134596364,0,0,0
LOC_Os12g38110,0,0.542082,0.993098026,0,1,1
LOC_Os02g09960,0,0.488456,0.100942588,0,0,0
LOC_Os01g52050,0,0.50323,0.0001,0,0,0
LOC_Os10g38920,0,0.561097,0.390196847,0,0,0
LOC_Os10g05180,0,0.482307,0.977395599,0,1,1
LOC_Os01g13800,0,0.557815,2.22E-16,0,0,0
LOC_Os02g39700,0,0.512937,2.22E-16,0,0,0
LOC_Os05g06770,0,0.574954,0.0003,0,0,0
